127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET /assets/arrow-left-BWyEupCh.js HTTP/1.1" 200 283 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET /assets/trending-up-BLYjj27d.js HTTP/1.1" 200 301 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET /assets/eye-CG0SYYIi.js HTTP/1.1" 200 319 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET /assets/folder-DU0Kua6i.js HTTP/1.1" 200 311 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET /assets/icon-D0sgXD6D.ico HTTP/1.1" 200 1150 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET /fonts/IBMPlexSansArabic-SemiBold.woff HTTP/1.1" 200 100992 "http://localhost:4200/assets/index-FUvVewE8.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:51 +0300] "GET /images/banner-1.png HTTP/1.1" 200 1949055 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:55 +0300] "GET /assets/CommunityList-BFd0TxdG.js HTTP/1.1" 200 7713 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:55 +0300] "GET /assets/CardContent.vue_vue_type_script_setup_true_lang-BPB-BXhP.js HTTP/1.1" 200 1012 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:55 +0300] "GET /assets/CardTitle.vue_vue_type_script_setup_true_lang-Hy9OhdzQ.js HTTP/1.1" 200 298 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:55 +0300] "GET /assets/CollapsibleContent.vue_vue_type_script_setup_true_lang-pBTIRF2-.js HTTP/1.1" 200 775 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
127.0.0.1 - - [09/Dec/2025:21:46:55 +0300] "GET /assets/folder-open-CiK_1QrL.js HTTP/1.1" 200 341 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36"
